UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
6887,_RARE_,L,301.1,310.9,1464,41.3,161,0,0,0,0,0,0
6341,_RARE_,M,301.0,310.0,1331,51.1,64,0,0,0,0,0,0
4087,_RARE_,L,302.0,310.8,1649,33.0,235,0,0,0,0,0,0
4826,_RARE_,H,303.1,311.9,1619,31.6,203,0,0,0,0,0,0
689,_RARE_,M,298.5,310.1,1808,26.1,74,0,0,0,0,0,0
8160,_RARE_,M,300.3,311.9,1322,69.0,114,0,0,0,0,0,0
9558,_RARE_,L,299.4,310.8,1471,47.3,5,0,0,0,0,0,0
1373,_RARE_,L,298.7,309.9,1437,49.7,153,0,0,0,0,0,0
8884,_RARE_,L,297.2,308.6,1560,47.9,136,0,0,0,0,0,0
5676,_RARE_,H,302.7,311.7,1451,46.8,65,0,0,0,0,0,0
3336,_RARE_,M,301.5,310.5,1293,55.8,166,0,0,0,0,0,0
5113,_RARE_,L,304.1,313.2,1760,28.0,42,0,0,0,0,0,0
8,_RARE_,L,299.1,309.0,1472,44.8,98,0,0,0,0,0,0
5444,_RARE_,M,303.0,312.5,1438,43.9,152,0,0,0,0,0,0
9550,_RARE_,M,299.4,310.6,1463,45.1,131,0,0,0,0,0,0
9068,_RARE_,L,297.5,308.3,1652,32.9,177,0,0,0,0,0,0
9277,_RARE_,L,298.3,309.0,1579,36.3,63,0,0,0,0,0,0
8946,_RARE_,M,297.2,308.3,1728,28.0,17,0,0,0,0,0,0
4130,_RARE_,L,302.1,310.5,1369,43.9,8,1,0,1,0,0,0
4839,_RARE_,M,303.7,312.5,1502,48.0,96,0,0,0,0,0,0
9145,_RARE_,L,297.8,309.1,1516,37.0,124,0,0,0,0,0,0
181,_RARE_,M,298.2,308.1,1523,39.6,24,0,0,0,0,0,0
3052,_RARE_,L,300.0,309.2,1483,41.3,197,0,0,0,0,0,0
6321,_RARE_,L,300.8,310.1,1350,57.4,156,0,0,0,0,0,0
5367,_RARE_,L,303.3,312.4,1552,38.7,201,0,0,0,0,0,0
2491,_RARE_,M,298.9,309.0,1616,32.3,47,0,0,0,0,0,0
7526,_RARE_,L,300.5,311.3,1462,39.2,107,0,0,0,0,0,0
3354,_RARE_,H,301.6,310.5,1653,39.9,111,0,0,0,0,0,0
4446,_RARE_,L,302.3,310.1,1548,38.6,47,0,0,0,0,0,0
5468,_RARE_,M,297.1,307.7,1669,29.8,162,0,0,0,0,0,0
2266,_RARE_,M,299.4,308.7,1900,24.9,176,0,0,0,0,0,0
8208,_RARE_,M,299.3,310.9,1529,43.5,161,0,0,0,0,0,0
1965,_RARE_,L,297.8,307.7,1734,26.2,172,0,0,0,0,0,0
562,_RARE_,H,297.4,309.4,1498,38.0,124,0,0,0,0,0,0
4067,_RARE_,L,302.1,310.7,1658,31.8,179,0,0,0,0,0,0
941,_RARE_,M,295.6,306.4,1473,43.8,30,0,0,0,0,0,0
4610,_RARE_,L,303.0,311.2,1475,52.6,194,1,0,1,0,1,0
1368,_RARE_,M,298.7,309.6,1574,36.8,100,0,0,0,0,0,0
2550,_RARE_,L,299.6,309.1,1612,30.9,120,0,0,0,0,0,0
3684,_RARE_,H,302.3,311.7,1937,21.8,179,0,0,0,0,0,0
4500,_RARE_,L,302.4,310.3,1564,33.9,39,0,0,0,0,0,0
2612,_RARE_,M,299.4,311.5,1676,33.9,107,0,0,0,0,0,0
4482,_RARE_,M,302.7,310.5,1521,38.4,109,0,0,0,0,0,0
2130,_RARE_,H,299.2,308.9,1894,17.7,29,0,0,0,0,0,0
4033,_RARE_,L,302.0,311.0,1362,50.1,119,0,0,0,0,0,0
9407,_RARE_,L,298.3,308.5,1566,35.8,194,0,0,0,0,0,0
6492,_RARE_,M,300.5,309.9,1384,47.5,65,1,1,0,0,0,0
9161,_RARE_,M,297.6,308.5,1464,41.9,121,0,0,0,0,0,0
1557,_RARE_,L,298.0,308.4,1562,37.3,81,0,0,0,0,0,0
8824,_RARE_,L,297.6,308.9,1343,45.7,80,0,0,0,0,0,0
6036,_RARE_,L,300.4,310.4,1274,48.6,0,0,0,0,0,0,0
9639,_RARE_,L,299.4,310.1,1771,25.2,21,0,0,0,0,0,0
2119,_RARE_,M,299.3,309.0,1422,43.0,78,0,0,0,0,0,0
4974,_RARE_,L,303.7,312.8,1555,41.2,14,0,0,0,0,0,0
1386,_RARE_,L,298.4,310.1,1282,62.9,156,0,0,0,0,0,0
2299,_RARE_,L,299.5,309.1,1655,29.9,108,0,0,0,0,0,0
4570,_RARE_,L,302.4,310.4,1562,34.0,148,0,0,0,0,0,0
683,_RARE_,L,297.9,308.7,1317,48.8,189,0,0,0,0,0,0
2956,_RARE_,L,300.7,309.5,1592,31.5,203,0,0,0,0,0,0
4329,_RARE_,L,302.0,309.6,1619,42.0,129,0,0,0,0,0,0
5661,_RARE_,H,302.2,311.7,1500,36.8,65,0,0,0,0,0,0
300,_RARE_,H,297.6,308.6,1899,23.8,194,0,0,0,0,0,0
917,_RARE_,H,296.0,306.2,1333,42.0,181,0,0,0,0,0,0
3621,_RARE_,L,302.0,310.5,1739,31.6,195,0,0,0,0,0,0
1478,_RARE_,L,299.0,310.0,1714,28.5,133,0,0,0,0,0,0
2270,_RARE_,M,299.8,309.2,1634,27.6,178,0,0,0,0,0,0
7361,_RARE_,L,299.9,310.6,1790,29.3,122,0,0,0,0,0,0
2858,_RARE_,L,300.5,309.6,1543,37.7,42,0,0,0,0,0,0
4118,_RARE_,M,301.8,310.1,1333,54.7,28,0,0,0,0,0,0
5973,_RARE_,L,300.5,310.7,1486,47.6,108,0,0,0,0,0,0
5279,_RARE_,L,303.5,312.7,1542,36.1,94,0,0,0,0,0,0
6181,_RARE_,L,300.9,310.8,1588,31.3,128,0,0,0,0,0,0
8662,_RARE_,M,297.6,308.6,1763,24.7,29,0,0,0,0,0,0
571,_RARE_,M,297.5,309.4,1502,34.6,2,0,0,0,0,0,0
9157,_RARE_,H,297.7,308.6,1448,42.5,180,0,0,0,0,0,0
3322,_RARE_,L,301.7,310.7,1622,30.4,130,0,0,0,0,0,0
7895,_RARE_,L,300.3,311.4,1491,41.6,156,0,0,0,0,0,0
202,_RARE_,H,298.0,308.2,1796,26.2,93,0,0,0,0,0,0
4368,_RARE_,L,301.4,310.1,1353,49.2,23,0,0,0,0,0,0
2891,_RARE_,L,300.6,309.5,1876,22.9,189,0,0,0,0,0,0
357,_RARE_,L,297.9,308.6,1620,30.1,5,0,0,0,0,0,0
4079,_RARE_,M,302.0,310.9,1561,37.9,57,0,0,0,0,0,0
4607,_RARE_,L,303.0,311.3,1500,43.1,8,0,0,0,0,0,0
6071,_RARE_,L,300.9,310.4,1337,49.8,92,0,0,0,0,0,0
4522,_RARE_,H,302.5,310.2,1408,36.6,41,0,0,0,0,0,0
1961,_RARE_,L,297.7,307.8,1666,27.3,157,0,0,0,0,0,0
3933,_RARE_,L,302.4,311.2,2292,13.6,155,0,0,0,0,0,0
3400,_RARE_,H,301.7,310.6,1491,42.2,172,0,0,0,0,0,0
3135,_RARE_,L,300.1,309.9,1446,45.0,231,0,0,0,0,0,0
8917,_RARE_,M,297.5,308.5,1690,26.8,69,0,0,0,0,0,0
61,_RARE_,H,298.9,310.0,1585,30.5,172,0,0,0,0,0,0
1485,_RARE_,L,298.4,310.1,1670,38.6,131,0,0,0,0,0,0
7656,_RARE_,L,300.5,311.5,1448,43.2,158,0,0,0,0,0,0
7459,_RARE_,L,300.1,311.3,2123,17.7,174,0,0,0,0,0,0
3842,_RARE_,M,301.7,310.9,1737,29.4,22,0,0,0,0,0,0
8371,_RARE_,M,298.7,309.6,1401,48.7,31,0,0,0,0,0,0
4613,_RARE_,L,303.1,311.2,1580,35.3,119,0,0,0,0,0,0
944,_RARE_,L,295.5,306.1,1408,46.7,172,0,0,0,0,0,0
6314,_RARE_,M,300.5,309.7,1458,34.6,7,0,0,0,0,0,0
2313,_RARE_,L,299.2,308.5,1475,48.1,47,0,0,0,0,0,0
8117,_RARE_,H,297.8,311.8,1503,43.0,99,0,0,0,0,0,0
5037,_RARE_,L,304.0,312.9,1403,38.1,129,0,0,0,0,0,0
8520,_RARE_,L,298.1,308.3,1472,40.0,152,0,0,0,0,0,0
7358,_RARE_,H,299.6,310.2,1328,47.1,31,0,0,0,0,0,0
4027,_RARE_,L,302.1,310.9,2084,17.8,24,0,0,0,0,0,0
8551,_RARE_,M,297.9,307.8,1465,42.7,71,0,0,0,0,0,0
1338,_RARE_,M,298.7,310.3,1364,52.9,15,0,0,0,0,0,0
1725,_RARE_,L,298.4,308.0,1518,47.4,79,0,0,0,0,0,0
1494,_RARE_,L,298.2,309.1,1552,37.7,180,0,0,0,0,0,0
2033,_RARE_,L,299.5,309.5,1633,37.4,94,0,0,0,0,0,0
9043,_RARE_,L,297.0,307.8,1489,47.3,147,0,0,0,0,0,0
6892,_RARE_,L,301.0,310.9,1453,43.6,43,0,0,0,0,0,0
493,_RARE_,L,297.5,309.3,1554,38.9,0,0,0,0,0,0,0
5247,_RARE_,L,303.7,312.7,1373,45.9,85,0,0,0,0,0,0
3131,_RARE_,H,300.3,309.2,1345,54.3,87,0,0,0,0,0,0
104,_RARE_,H,298.7,308.6,1430,46.0,126,0,0,0,0,0,0
3192,_RARE_,L,301.0,310.1,1973,19.3,15,0,0,0,0,0,0
2070,_RARE_,M,298.6,309.7,1518,42.0,155,0,0,0,0,0,0
6484,_RARE_,M,297.3,308.7,1605,35.7,103,0,0,0,0,0,0
5609,_RARE_,M,302.3,311.9,1352,45.0,72,0,0,0,0,0,0
3226,_RARE_,L,301.3,310.0,1388,55.3,182,0,0,0,0,0,0
9512,_RARE_,H,299.3,310.8,1557,43.5,140,0,0,0,0,0,0
2792,_RARE_,M,300.4,309.6,1840,25.5,155,0,0,0,0,0,0
2533,_RARE_,M,299.3,308.9,1381,56.1,28,0,0,0,0,0,0
4001,_RARE_,M,301.9,311.2,1533,40.5,62,0,0,0,0,0,0
6152,_RARE_,L,300.7,310.7,1517,35.3,216,0,0,0,0,0,0
9883,_RARE_,L,298.8,310.2,1605,30.0,151,0,0,0,0,0,0
1820,_RARE_,M,296.3,306.5,1381,45.0,149,0,0,0,0,0,0
7441,_RARE_,L,300.1,311.3,1577,38.4,40,0,0,0,0,0,0
2958,_RARE_,M,300.5,309.6,1542,31.6,226,0,0,0,0,0,0
1154,_RARE_,L,297.2,307.8,1736,27.9,172,0,0,0,0,0,0
1996,_RARE_,L,299.6,308.9,1280,47.0,67,0,0,0,0,0,0
7384,_RARE_,L,299.6,310.2,1378,63.9,166,0,0,0,0,0,0
1473,_RARE_,M,298.9,310.1,1449,44.5,162,0,0,0,0,0,0
7578,_RARE_,M,300.5,311.8,1478,37.2,104,0,0,0,0,0,0
8014,_RARE_,M,300.6,311.8,1493,53.8,23,0,0,0,0,0,0
2907,_RARE_,L,300.0,309.5,1306,59.1,27,0,0,0,0,0,0
7262,_RARE_,L,300.0,310.3,1498,44.5,198,0,0,0,0,0,0
7108,_RARE_,L,300.8,310.2,1350,54.4,110,0,0,0,0,0,0
9417,_RARE_,L,298.4,309.0,1449,43.0,195,0,0,0,0,0,0
3433,_RARE_,H,301.6,310.7,1298,61.4,136,0,0,0,0,0,0
6786,_RARE_,L,301.8,311.0,1775,28.9,198,0,0,0,0,0,0
7847,_RARE_,L,300.3,311.3,1814,24.6,149,0,0,0,0,0,0
3974,_RARE_,L,302.3,311.6,1431,39.5,2,0,0,0,0,0,0
9691,_RARE_,L,299.0,310.2,1324,60.7,39,0,0,0,0,0,0
4833,_RARE_,L,303.2,312.4,1354,59.3,40,0,0,0,0,0,0
6498,_RARE_,L,300.1,309.9,1485,41.6,213,0,0,0,0,0,0
1385,_RARE_,M,298.8,310.2,1599,38.7,61,0,0,0,0,0,0
6375,_RARE_,L,303.7,312.7,1441,48.7,104,0,0,0,0,0,0
6514,_RARE_,L,301.4,310.2,1575,34.6,125,0,0,0,0,0,0
9559,_RARE_,H,299.5,310.8,1845,21.4,88,0,0,0,0,0,0
4546,_RARE_,L,302.9,311.0,1446,50.9,210,0,0,0,0,0,0
3479,_RARE_,M,301.9,310.6,1894,20.7,10,0,0,0,0,0,0
5622,_RARE_,L,302.5,311.9,1278,61.9,37,0,0,0,0,0,0
5108,_RARE_,L,304.2,313.6,1480,38.7,114,0,0,0,0,0,0
3947,_RARE_,L,302.1,311.6,1455,51.4,182,0,0,0,0,0,0
7158,_RARE_,L,300.3,310.1,1514,54.6,212,0,0,0,0,0,0
3295,_RARE_,M,301.7,310.3,1793,23.0,121,0,0,0,0,0,0
9143,_RARE_,L,297.4,308.6,1600,33.4,126,0,0,0,0,0,0
3004,_RARE_,H,300.2,309.3,1392,49.2,209,0,0,0,0,0,0
3554,_RARE_,M,301.8,310.8,1456,44.6,107,0,0,0,0,0,0
6848,_RARE_,L,301.0,311.0,1453,55.4,156,0,0,0,0,0,0
8464,_RARE_,L,298.8,309.8,1618,34.5,176,0,0,0,0,0,0
1500,_RARE_,H,298.5,308.5,1343,59.8,213,0,0,0,0,0,0
8559,_RARE_,L,297.7,307.7,1451,36.2,168,0,0,0,0,0,0
1207,_RARE_,L,297.6,308.5,1402,52.0,27,0,0,0,0,0,0
5896,_RARE_,L,301.4,311.0,1509,49.5,60,0,0,0,0,0,0
2423,_RARE_,M,299.0,308.4,1468,37.4,137,0,0,0,0,0,0
7749,_RARE_,L,300.2,311.6,1671,31.3,209,0,0,0,0,0,0
6744,_RARE_,L,301.3,311.1,1344,60.7,191,0,0,0,0,0,0
9956,_RARE_,M,298.5,308.7,1667,20.8,43,0,0,0,0,0,0
1569,_RARE_,M,298.1,308.6,1204,54.0,100,0,0,0,0,0,0
73,_RARE_,L,298.8,309.3,2092,17.8,55,0,0,0,0,0,0
2137,_RARE_,L,299.7,309.3,1412,41.6,77,0,0,0,0,0,0
4708,_RARE_,M,303.4,311.7,1567,33.9,190,0,0,0,0,0,0
5662,_RARE_,L,302.4,311.9,1940,29.3,122,0,0,0,0,0,0
8268,_RARE_,H,299.1,310.6,1400,53.4,88,0,0,0,0,0,0
6138,_RARE_,L,300.9,311.0,1829,21.0,116,0,0,0,0,0,0
3093,_RARE_,M,299.8,309.3,1400,48.4,104,0,0,0,0,0,0
5582,_RARE_,L,302.6,311.8,1564,39.2,107,0,0,0,0,0,1
3979,_RARE_,M,302.2,311.6,1604,32.4,48,0,0,0,0,0,0
9890,_RARE_,L,298.8,310.4,1442,39.0,137,0,0,0,0,0,0
3430,_RARE_,H,301.3,310.1,1594,39.8,195,0,0,0,0,0,0
5766,_RARE_,L,301.6,310.8,1559,39.4,123,0,0,0,0,0,0
3064,_RARE_,L,300.6,309.5,1449,43.3,131,0,0,0,0,0,0
4144,_RARE_,L,301.9,310.3,1384,47.3,111,1,0,1,0,0,0
7915,_RARE_,L,301.0,312.3,1309,67.3,52,1,0,0,1,0,0
3024,_RARE_,M,300.4,309.7,1445,38.0,180,0,0,0,0,0,0
1681,_RARE_,L,298.1,307.8,1660,29.6,90,0,0,0,0,0,0
1190,_RARE_,L,297.1,307.9,1352,42.6,138,0,0,0,0,0,0
9738,_RARE_,M,298.7,309.8,1329,52.3,158,0,0,0,0,0,0
4009,_RARE_,H,302.1,311.2,1450,45.9,123,0,0,0,0,0,0
6754,_RARE_,L,301.4,310.9,1778,23.8,9,0,0,0,0,0,0
9691,_RARE_,L,298.7,309.8,1353,53.8,142,0,0,0,0,0,0
9043,_RARE_,L,297.1,308.1,1724,27.0,159,0,0,0,0,0,0
981,_RARE_,L,295.5,306.1,1520,47.9,139,0,0,0,0,0,0
7412,_RARE_,L,299.7,310.6,2089,19.9,190,0,0,0,0,0,0
3819,_RARE_,L,302.4,311.3,1917,28.0,154,0,0,0,0,0,0
7947,_RARE_,L,301.2,312.1,1390,52.9,69,0,0,0,0,0,0
7043,_RARE_,L,300.7,310.2,1484,42.0,187,0,0,0,0,0,0
5973,_RARE_,M,300.7,310.6,1413,38.3,84,0,0,0,0,0,0
6686,_RARE_,L,301.5,310.7,1390,41.7,215,0,0,0,0,0,0
5448,_RARE_,L,302.7,312.0,1438,43.9,33,0,0,0,0,0,0
6072,_RARE_,H,300.9,311.2,1360,47.5,31,0,0,0,0,0,0
7222,_RARE_,M,300.4,309.9,1574,33.0,180,0,0,0,0,0,0
1154,_RARE_,H,297.3,308.0,1300,52.6,76,0,0,0,0,0,0
5105,_RARE_,M,304.2,313.6,1452,44.5,132,0,0,0,0,0,0
5280,_RARE_,L,303.8,312.7,1431,44.4,125,0,0,0,0,0,0
9733,_RARE_,M,298.4,309.6,1563,32.1,15,0,0,0,0,0,0
1811,_RARE_,L,298.1,307.7,1606,34.4,39,0,0,0,0,0,0
4981,_RARE_,H,303.6,312.6,1424,49.2,146,0,0,0,0,0,0
7551,_RARE_,L,300.5,310.8,1419,45.8,51,0,0,0,0,0,0
9767,_RARE_,L,298.9,310.1,1685,28.7,6,0,0,0,0,0,0
9266,_RARE_,L,298.2,308.8,1375,43.9,66,0,0,0,0,0,0
2969,_RARE_,L,300.9,309.7,1458,39.1,24,0,0,0,0,0,0
6051,_RARE_,L,300.6,310.9,1458,39.8,119,0,0,0,0,0,0
9436,_RARE_,L,298.2,308.7,1446,47.1,37,0,0,0,0,0,0
730,_RARE_,L,296.8,308.0,1903,23.0,240,0,0,0,0,0,0
312,_RARE_,M,297.5,308.4,1635,28.7,13,0,0,0,0,0,0
960,_RARE_,H,295.6,306.0,1615,35.8,197,0,0,0,0,0,0
8653,_RARE_,H,300.0,308.6,1376,49.0,145,0,0,0,0,0,0
8530,_RARE_,L,297.8,308.1,1538,39.3,40,0,0,0,0,0,0
6229,_RARE_,L,301.0,310.9,1587,37.6,212,0,0,0,0,0,0
1026,_RARE_,L,296.6,307.5,1464,47.9,153,0,0,0,0,0,0
4915,_RARE_,L,303.6,312.7,1446,48.0,116,0,0,0,0,0,0
7271,_RARE_,M,300.1,310.0,1286,54.8,62,0,0,0,0,0,0
269,_RARE_,L,298.0,308.7,1423,57.8,173,0,0,0,0,0,0
1897,_RARE_,L,298.1,308.0,1664,30.5,196,0,0,0,0,0,0
6360,_RARE_,L,301.8,309.7,1658,32.0,209,0,0,0,0,0,0
3537,_RARE_,L,301.8,311.0,1472,48.0,183,0,0,0,0,0,0
342,_RARE_,H,297.4,308.1,1552,52.9,107,0,0,0,0,0,0
4486,_RARE_,H,302.9,310.5,1311,53.3,32,0,0,0,0,0,0
1507,_RARE_,L,297.8,308.6,1436,46.2,116,0,0,0,0,0,0
3717,_RARE_,M,302.5,311.8,1493,38.0,71,0,0,0,0,0,0
6338,_RARE_,L,300.1,309.7,1386,58.3,116,0,0,0,0,0,0
5997,_RARE_,L,300.7,310.7,1486,41.3,211,0,0,0,0,0,0
1143,_RARE_,M,297.2,308.4,1592,34.8,120,0,0,0,0,0,0
567,_RARE_,L,297.7,309.4,1375,46.9,133,0,0,0,0,0,0
9694,_RARE_,L,298.9,310.0,1626,37.5,89,0,0,0,0,0,0
1892,_RARE_,H,298.1,307.6,2600,15.6,181,1,0,0,1,0,0
9483,_RARE_,L,298.1,308.7,1701,28.1,103,0,0,0,0,0,0
1449,_RARE_,L,298.9,310.1,1494,51.2,61,0,0,0,0,0,0
796,_RARE_,M,296.9,307.6,1444,45.0,87,0,0,0,0,0,0
4709,_RARE_,H,303.5,312.3,1475,38.1,186,0,0,0,0,0,0
7539,_RARE_,M,300.2,311.5,1546,43.4,164,0,0,0,0,0,0
5715,_RARE_,L,301.9,311.4,1365,47.4,56,0,0,0,0,0,0
2126,_RARE_,L,299.5,309.1,1683,33.5,225,0,0,0,0,0,0
5427,_RARE_,L,303.1,312.6,1476,43.1,176,0,0,0,0,0,0
5680,_RARE_,M,302.9,311.8,1627,29.9,99,1,0,0,1,0,0
9825,_RARE_,L,298.3,309.1,1571,37.6,111,0,0,0,0,0,0
7926,_RARE_,L,300.9,312.0,1544,30.3,161,0,0,0,0,0,0
3747,_RARE_,L,302.1,311.1,1542,39.3,114,0,0,0,0,0,0
1378,_RARE_,L,298.7,309.9,1450,46.2,84,0,0,0,0,0,0
5307,_RARE_,M,303.0,312.7,2332,11.8,16,0,0,0,0,0,0
8457,_RARE_,L,298.3,309.5,1632,33.7,147,0,0,0,0,0,0
4990,_RARE_,L,303.6,312.7,2471,11.9,177,0,0,0,0,0,0
3134,_RARE_,L,300.4,309.6,1758,28.6,228,0,0,0,0,0,0
9441,_RARE_,L,298.1,308.5,1394,42.0,201,0,0,0,0,0,0
9954,_RARE_,L,298.2,308.7,1226,52.4,188,0,0,0,0,0,0
2591,_RARE_,M,299.3,309.1,1558,48.8,143,0,0,0,0,0,0
8837,_RARE_,M,297.1,308.4,1426,40.0,199,0,0,0,0,0,0
322,_RARE_,M,297.9,308.7,1396,50.5,93,0,0,0,0,0,0
6901,_RARE_,L,300.7,310.8,1591,34.9,89,0,0,0,0,0,0
145,_RARE_,L,298.8,308.6,1524,47.1,191,0,0,0,0,0,0
191,_RARE_,M,298.3,308.9,1555,38.2,126,0,0,0,0,0,0
294,_RARE_,M,297.8,308.6,1588,36.8,186,0,0,0,0,0,0
3682,_RARE_,H,301.4,310.5,1752,26.6,40,0,0,0,0,0,0
5098,_RARE_,H,303.8,312.9,1550,38.6,168,0,0,0,0,0,0
7230,_RARE_,M,299.9,309.9,1496,47.7,60,1,0,0,1,0,0
9424,_RARE_,L,298.5,309.9,1550,34.7,3,0,0,0,0,0,0
3892,_RARE_,L,302.5,310.9,1360,41.4,63,0,0,0,0,0,0
9098,_RARE_,H,297.3,308.1,1442,44.0,89,0,0,0,0,0,0
3360,_RARE_,L,300.8,310.6,1496,45.6,19,0,0,0,0,0,0
5623,_RARE_,L,302.3,311.8,1904,24.6,28,0,0,0,0,0,0
5647,_RARE_,M,303.0,312.4,1433,40.8,102,0,0,0,0,0,0
2500,_RARE_,L,299.0,308.7,1590,34.6,98,0,0,0,0,0,0
3911,_RARE_,M,301.8,310.6,1645,34.2,84,0,0,0,0,0,0
2583,_RARE_,L,298.9,308.7,1552,38.0,68,0,0,0,0,0,0
7877,_RARE_,M,300.2,311.9,1347,43.5,140,0,0,0,0,0,0
2305,_RARE_,M,299.3,308.7,1495,39.5,159,0,0,0,0,0,0
573,_RARE_,L,297.5,309.4,1429,44.4,217,0,0,0,0,0,0
3851,_RARE_,L,302.2,311.4,1460,37.6,205,0,0,0,0,0,0
9724,_RARE_,M,298.6,309.5,1834,23.6,44,0,0,0,0,0,0
5557,_RARE_,L,296.8,307.9,1334,52.9,2,0,0,0,0,0,0
3950,_RARE_,M,302.2,311.4,1362,45.7,164,0,0,0,0,0,0
2490,_RARE_,L,299.3,309.1,1339,42.7,41,0,0,0,0,0,0
7762,_RARE_,M,300.8,311.7,1487,45.5,134,0,0,0,0,0,0
5178,_RARE_,L,304.3,313.4,1499,41.1,18,0,0,0,0,0,0
1723,_RARE_,L,298.6,308.0,1513,40.7,70,0,0,0,0,0,0
7983,_RARE_,L,300.8,312.3,1417,52.5,28,0,0,0,0,0,0
3763,_RARE_,L,302.5,311.0,1500,48.0,157,0,0,0,0,0,0
2967,_RARE_,M,300.6,309.4,1470,40.7,77,0,0,0,0,0,0
688,_RARE_,M,297.5,308.6,1588,32.2,6,0,0,0,0,0,0
5576,_RARE_,L,302.5,312.0,1380,44.1,82,0,0,0,0,0,0
9297,_RARE_,M,298.2,308.2,1208,62.4,173,0,0,0,0,0,0
3635,_RARE_,L,302.1,311.7,1369,48.3,212,0,0,0,0,0,0
4096,_RARE_,L,301.8,310.1,1362,47.8,88,0,0,0,0,0,0
1441,_RARE_,L,299.1,310.3,1416,44.3,182,0,0,0,0,0,0
3605,_RARE_,H,302.1,311.2,1353,43.3,30,0,0,0,0,0,0
9770,_RARE_,L,298.9,310.3,1585,36.4,160,0,0,0,0,0,0
34,_RARE_,H,299.1,309.0,1508,44.8,67,0,0,0,0,0,0
7328,_RARE_,L,299.8,310.4,1425,41.9,77,0,0,0,0,0,0
9928,_RARE_,L,298.6,310.4,1385,51.1,204,0,0,0,0,0,0
9113,_RARE_,H,297.3,308.6,1622,31.0,34,0,0,0,0,0,0
9799,_RARE_,L,299.1,310.2,1505,40.3,0,0,0,0,0,0,0
3384,_RARE_,L,301.4,310.6,1325,59.8,96,0,0,0,0,0,0
